2026-03-09 13:58:46 | Base de Datos | Sin datos recientes (45s de antigüedad)
2026-03-09 13:58:58 | Balanceador | Sin datos recientes (56s de antigüedad)
2026-03-09 13:58:58 | Servidor Web 1 | Sin datos recientes (51s de antigüedad)
2026-03-09 13:58:58 | Servidor Web 2 | Sin datos recientes (51s de antigüedad)
2026-03-09 13:58:58 | Base de Datos | Sin datos recientes (56s de antigüedad)
2026-03-09 13:59:04 | Balanceador | nginx detenido
2026-03-09 13:59:04 | Balanceador | mariadb detenido
2026-03-09 13:59:04 | Servidor Web 1 | nginx detenido
2026-03-09 13:59:04 | Servidor Web 1 | mariadb detenido
2026-03-09 13:59:04 | Servidor Web 2 | nginx detenido
2026-03-09 13:59:04 | Servidor Web 2 | mariadb detenido
2026-03-09 13:59:04 | Base de Datos | nginx detenido
2026-03-09 13:59:31 | Balanceador | Sin datos recientes (22s de antigüedad)
2026-03-09 13:59:31 | Base de Datos | Sin datos recientes (23s de antigüedad)
2026-03-09 13:59:34 | Servidor Web 1 | Sin datos recientes (21s de antigüedad)
2026-03-09 13:59:34 | Servidor Web 2 | Sin datos recientes (21s de antigüedad)
2026-03-13 09:07:41 | Balanceador | Sin datos recientes (328112s de antigüedad)2026-03-13 09:07:41 | Servidor Web 1 | Sin datos recientes (328107s de antigüedad)2026-03-13 09:07:41 | Servidor Web 2 | Sin datos recientes (328107s de antigüedad)2026-03-13 09:07:41 | Base de Datos | Sin datos recientes (328112s de antigüedad)2026-03-13 09:08:26 | Balanceador | nginx detenido2026-03-13 09:08:26 | Balanceador | mariadb detenido2026-03-13 09:08:26 | Servidor Web 1 | nginx detenido2026-03-13 09:08:26 | Servidor Web 1 | mariadb detenido2026-03-13 09:08:26 | Servidor Web 2 | nginx detenido2026-03-13 09:08:26 | Servidor Web 2 | mariadb detenido2026-03-13 09:08:26 | Base de Datos | nginx detenido2026-03-13 09:10:48 | Base de Datos | Archivo vacío o ilegible2026-03-13 09:18:26 | Servidor Web 2 | Archivo vacío o ilegible2026-03-13 09:18:26 | Base de Datos | mariadb detenido2026-03-13 09:19:08 | Balanceador | Sin datos recientes (20s de antigüedad)2026-03-13 09:19:08 | Servidor Web 1 | Sin datos recientes (20s de antigüedad)2026-03-13 09:19:08 | Servidor Web 2 | Sin datos recientes (20s de antigüedad)2026-03-13 09:19:08 | Base de Datos | Sin datos recientes (20s de antigüedad)2026-03-19 14:16:04 | Balanceador | nginx detenido2026-03-19 14:16:04 | Balanceador | mariadb detenido2026-03-19 14:16:04 | Servidor Web 1 | nginx detenido2026-03-19 14:16:04 | Servidor Web 1 | mariadb detenido2026-03-19 14:16:04 | Servidor Web 2 | nginx detenido2026-03-19 14:16:04 | Servidor Web 2 | mariadb detenido2026-03-19 14:16:04 | Base de Datos | nginx detenido
